,0
2347,-255
2348,-1143
2349,-248
2350,-1093
2351,-231
2352,-1032
2353,-208
2354,-952
2355,-180
2356,-867
2357,-137
2358,-777
2359,-91
2360,-680
2361,-44
2362,-587
2363,28
2364,-496
2365,79
2366,-404
2367,128
2368,-325
2369,183
2370,-252
2371,220
2372,-184
2373,249
2374,-134
2375,281
2376,-91
2377,287
2378,-47
2379,288
2380,-10
2381,288
2382,33
2383,263
2384,75
2385,252
2386,119
2387,238
2388,178
2389,214
2390,241
2391,197
2392,307
2393,182
2394,386
2395,169
2396,465
2397,164
2398,551
2399,164
2400,646
2401,165
2402,739
2403,183
2404,836
2405,203
2406,936
2407,228
2408,1024
2409,259
2410,1108
2411,280
2412,1188
2413,311
2414,1256
2415,348
2416,1324
2417,378
2418,1383
2419,411
2420,1430
2421,444
2422,1478
2423,475
2424,1514
2425,512
2426,1541
2427,545
2428,1566
2429,578
2430,1576
2431,607
2432,1580
2433,630
2434,1579
2435,650
2436,1567
2437,672
2438,1549
2439,679
2440,1522
2441,682
2442,1477
2443,673
2444,1427
2445,639
2446,1365
2447,610
2448,1285
2449,558
2450,1204
2451,492
2452,1109
2453,418
2454,1001
2455,330
2456,897
2457,234
2458,782
2459,142
2460,666
2461,45
2462,557
2463,-53
2464,444
2465,-129
2466,344
2467,-203
2468,262
2469,-257
2470,186
2471,-296
2472,127
2473,-327
2474,87
2475,-334
2476,58
2477,-330
2478,43
2479,-323
2480,36
2481,-304
2482,33
2483,-274
2484,36
2485,-250
2486,35
2487,-218
2488,34
2489,-191
2490,33
2491,-181
2492,22
2493,-163
2494,7
2495,-161
2496,-16
2497,-170
2498,-55
2499,-182
2500,-93
2501,-213
2502,-142
2503,-241
2504,-201
2505,-280
2506,-258
2507,-322
2508,-320
2509,-358
2510,-386
2511,-397
2512,-443
2513,-433
2514,-508
2515,-457
2516,-576
2517,-476
2518,-636
2519,-494
2520,-701
2521,-486
2522,-763
2523,-486
2524,-816
2525,-480
2526,-869
2527,-454
2528,-917
2529,-446
2530,-960
2531,-432
2532,-1005
2533,-412
2534,-1039
2535,-406
2536,-1070
2537,-397
2538,-1106
2539,-386
2540,-1139
2541,-392
2542,-1173
2543,-396
2544,-1212
2545,-396
2546,-1243
2547,-414
2548,-1277
2549,-424
2550,-1314
2551,-435
2552,-1347
2553,-458
2554,-1383
2555,-469
2556,-1411
2557,-488
2558,-1424
2559,-504
2560,-1433
2561,-509
2562,-1426
2563,-524
2564,-1404
2565,-525
2566,-1377
2567,-519
2568,-1327
2569,-518
2570,-1268
2571,-497
2572,-1195
2573,-467
2574,-1103
2575,-439
2576,-1005
2577,-389
2578,-901
2579,-338
2580,-784
2581,-283
2582,-675
2583,-211
2584,-572
2585,-149
2586,-466
2587,-87
2588,-371
2589,-5
2590,-290
2591,51
2592,-215
2593,89
2594,-152
2595,139
2596,-89
2597,169
2598,-31
2599,193
2600,24
2601,213
2602,82
2603,220
2604,138
2605,233
2606,197
2607,240
2608,269
2609,239
2610,345
2611,248
2612,426
2613,257
2614,519
2615,268
2616,616
2617,292
2618,717
2619,313
2620,825
2621,344
2622,930
2623,388
2624,1036
2625,425
2626,1135
2627,468
2628,1227
2629,521
2630,1323
2631,560
2632,1407
2633,612
2634,1482
2635,663
2636,1560
2637,701
2638,1627
2639,757
2640,1681
2641,801
2642,1734
2643,843
2644,1778
